TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RZTR11;104,89;1,250000;11,36;98,75;1,06;3.461.482,46;0,86;;;1.090.996.667,91;48.924,00;Ativa;11.048.018,00
SARE11;75,68;0,620000;9,83;99,04;0,76;1.233.887,34;14,02;;;914.554.552,25;17.897,00;Ativa;9.234.329,00
SNCI11;103,33;1,300000;8,15;100,85;1,03;2.494.382,12;6,67;;;252.128.060,08;25.847,00;Ativa;2.500.001,00
SNFF11;87,14;0,650000;7,34;91,31;0,95;616.197,73;3,79;;;228.274.891,17;31.162,00;Ativa;2.500.000,00
SOLR11;1.011,00;7,156147;9,94;1.008,52;1,00;2.014.249,00;1,05;;;63.418.773,33;52,00;Ativa;62.883,00
PLRI11;41,54;0,249786;11,22;39,63;1,05;11.367,80;2,77;9,43;-13,66;37.815.549,00;863,00;Ativa;954.304,00
RCRB11;127,95;0,600000;7,20;195,96;0,65;578.410,56;1,08;4,23;-9,79;723.220.184,62;29.562,00;Ativa;3.690.695,00
RCRI11B;1.200,00;12,481836;1,70;365,40;3,28;;70,80;;;18.639.596,10;149,00;Ativa;51.012,00
TCPF11;1,26;1,860000;1.389,68;151,68;0,01;;3,98;;;45.098.418,07;52,00;Ativa;297.327,00
TJKB11;0,00;2,220000;0,00;268,25;;;0,05;;;201.187.223,03;52,00;Ativa;750.000,00
PNLN11;0,00;;0,00;49,16;;;77,15;;;245.791,26;1,00;Ativa;5.000,00
SBCL11;0,00;;0,00;947,32;;;142,13;;;28.419.691,26;2,00;Ativa;30.000,00
SPVJ11;0,00;0,690000;0,00;107,51;;;9,02;;;678.631.040,38;27,00;Ativa;6.312.090,00
TORM13;142,00;10,562960;40,32;0,00;;2.317,56;;;;0,00;0,00;Ativa;0,00
TBOF11;15,56;0,085963;0,00;0,21;74,10;;218,84;72,22;-42,81;2.155.042,06;9.179,00;Passiva;10.050.000,00
TOUR11;8,80;0,242328;1.423,81;0,00;;340.762,05;;;;0,00;0,00;Ativa;0,00
VCJR11;98,09;1,130000;13,37;95,29;1,03;1.055.171,85;5,56;;;1.313.860.094,74;8.580,00;Ativa;13.788.160,00
WPLZ11;74,45;0,300000;2,65;102,84;0,72;8.202,61;2,02;-15,10;-2,69;104.975.969,77;1.841,00;Passiva;1.020.747,00
XPHT11;98,06;0,050000;0,05;94,06;1,04;151.871,03;0,61;;-1,30;357.866.379,56;1.348,00;Ativa;3.804.642,00
XPPR11;58,50;0,450000;10,39;78,55;0,75;1.040.409,17;2,54;;;574.700.608,58;56.208,00;Ativa;7.316.171,00
XPSF11;74,32;0,670000;11,71;86,47;0,85;1.070.373,34;2,01;;;374.433.734,35;22.141,00;Ativa;4.330.214,00
XTED11;6,20;0,323281;0,00;13,89;0,44;6.010,61;0,36;;-1,42;27.305.951,24;4.455,00;Ativa;1.965.425,00
TRXB11;118,00;0,850000;8,42;97,98;1,20;39.822,42;7,75;;;245.083.864,20;178,00;Passiva;2.501.419,00
VTXI11;0,00;;0,00;27,70;;;64,88;;;2.866.505,74;2,00;Ativa;103.500,00
