TICKER,PRECO,Nome,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG.LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
MODL11,7.8700000000000001,MODALMAIS,"3,54","16,30","1,45","0,27","83,52","23,85","12,70","8,68","8,68",,,"2,07",,"-0,39",,"8,90","1,63",,"0,18","0,82","0,13",,,"5.722.151,33","5,43","0,48","0,05","1.847.351.333,33"
MODL3,3.0699999999999998,MODALMAIS,"3,03","19,08","1,70","0,31","83,52","23,85","12,70","10,16","8,68",,,"2,42",,"-0,45",,"8,90","1,63",,"0,18","0,82","0,13",,,"34.565,83","1,81","0,16","0,06","1.847.351.333,33"
MODL4,2.5299999999999998,MODALMAIS,"3,67","15,72","1,40","0,26","83,52","23,85","12,70","8,37","8,68",,,"2,00",,"-0,37",,"8,90","1,63",,"0,18","0,82","0,13",,,"70.491,54","1,81","0,16","0,05","1.847.351.333,33"
MOSI3,8.2400000000000002,-,,"32,29","1,56","1,46","89,47","6,23","14,75","76,45","36,94","-39,51","-0,81","4,76","1,91","-8,40","13,23","4,84","4,52","0,25","0,93","0,07","0,31",,,"6.097.270,00","5,27","0,26",,"1.043.149.227,20"
MOVI3,15.460000000000001,MOVIDA,"8,87","5,79","1,73","0,27","44,24","31,95","14,91","2,70","6,67","3,97","2,54","0,86","1,31","-0,42","2,25","29,87","4,62","9,72","0,15","0,85","0,31","23,01","89,42","56.851.207,38","8,95","2,67","0,03","5.601.190.249,56"
MRFG3,15.98,MARFRIG,"20,22","2,65","3,29","0,23","20,37","15,12","4,61","0,81","2,39","1,59","6,46","0,12","2,30","-0,40","1,29","124,16","8,59","28,07","0,07","0,89","1,86","35,31",,"141.181.081,71","4,86","6,03","0,22","11.048.091.209,74"
MRSA3B,38.700000000000003,MRS LOGIST,"1,21","18,81","2,71","0,98","34,24","31,83","15,80","9,34","10,49","1,76","0,51","2,97","46,78","-1,22","1,12","14,43","5,21","11,59","0,36","0,64","0,33","6,19","10,87","13.499,00","14,26","2,06","0,30","12.293.496.315,90"
MRSA5B,33,MRS LOGIST,"1,56","16,04","2,31","0,84","34,24","31,83","15,80","7,96","10,49","1,76","0,51","2,53","39,89","-1,04","1,12","14,43","5,21","11,59","0,36","0,64","0,33","6,19","10,87","3.300,00","14,26","2,06","0,26","12.293.496.315,90"
MRSA6B,30.059999999999999,MRS LOGIST,"1,71","14,61","2,11","0,76","34,24","31,83","15,80","7,25","10,49","1,76","0,51","2,31","36,33","-0,95","1,12","14,43","5,21","11,59","0,36","0,64","0,33","6,19","10,87","3.006,00","14,26","2,06","0,23","12.293.496.315,90"
MRVE3,9.5899999999999999,MRV,"1,69","5,76","0,70","0,23","25,86","16,03","11,31","4,06","7,81","3,75","0,65","0,65","0,84","-0,43","2,40","12,20","3,98","7,30","0,33","0,67","0,35","10,87","7,64","69.507.463,21","13,66","1,67","0,12","4.634.202.446,51"
MSPA3,50.009999999999998,MELHOR SP,,"-9,85","0,39","0,22","25,55","-20,97","-22,55","-10,60","-13,12","-2,62","0,10","2,22","5,41","-0,24","1,80","-3,95","-2,24","-3,54","0,57","0,43","0,10","-22,81",,"12.300,50","128,57","-5,08","0,24","317.596.500,45"
MSPA4,46.5,MELHOR SP,,"-9,16","0,36","0,21","25,55","-20,97","-22,55","-9,85","-13,12","-2,62","0,10","2,07","5,03","-0,23","1,80","-3,95","-2,24","-3,54","0,57","0,43","0,10","-22,81",,"13.950,00","128,57","-5,08","0,23","317.596.500,45"
MSRO3,702.5,MAESTROLOC,,"2.451,62","314,05","67,02","50,13","32,16","8,00","610,04","615,29","5,26","2,71","196,17","-215,77","-81,93","0,37","12,81","2,73","10,47","0,21","0,79","0,34","9,20","-10,29",,"2,24","0,29","4,11","18.271.898.550,00"
MTIG3,0,METAL IGUACU,,"0,00","0,00","0,00","0,80","-4,96","-18,49","0,00","-38,86","-35,63",,"0,00","0,00","0,00","0,28","-18,12","-10,33","-20,73","-0,57","1,57","0,56","-19,40",,,"-206,18","-37,35","0,00","7.795.411,20"
MTIG4,48.450000000000003,METAL IGUACU,,"-1,30","-0,24","0,13","0,80","-4,96","-18,49","-4,84","-38,86","-35,63",,"0,24","-0,18","-0,19","0,28","-18,12","-10,33","-20,73","-0,57","1,57","0,56","-19,40",,"14.958,75","-206,18","-37,35","0,03","7.795.411,20"
