TICKER,PRECO,Nome,DY,P/L,P/VP,P/ATIVOS,MARGEM BRUTA,MARGEM EBIT,MARG.LIQUIDA,P/EBIT,EV/EBIT,DIVIDA LIQUIDA / EBIT,DIV. LIQ. / PATRI.,PSR,P/CAP. GIRO,P. AT CIR. LIQ.,LIQ. CORRENTE,ROE,ROA,ROIC,PATRIMONIO / ATIVOS,PASSIVOS / ATIVOS,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS, LIQUIDEZ MEDIA DIARIA, VPA, LPA, PEG Ratio, VALOR DE MERCADO
SIMH3,10.300000000000001,SIMPAR,"6,03","9,39","2,92","0,18","33,04","23,68","5,81","2,30","7,12","4,82","6,12","0,55","0,65","-0,32","2,79","31,12","1,93","8,28","0,06","0,89","0,33","16,28",,"25.820.086,00","3,53","1,10","0,07","8.634.909.652,90"
SLCE3,52.880000000000003,SLC AGRICOLA,"4,59","10,58","2,97","0,87","35,54","30,25","16,79","5,87","7,15","1,28","0,65","1,78","8,79","-1,45","1,33","28,13","8,25","23,31","0,29","0,71","0,49","30,68","104,16","100.961.610,71","17,78","5,00","0,09","11.232.907.035,12"
SLED3,12.51,SARAIVA LIVR,,"0,49","-0,05","0,09","39,77","9,76","51,98","2,61","31,02","29,27",,"0,26","-0,27","-0,14","0,50","-9,26","18,73","-3,66","-2,02","3,02","0,36","-44,82",,"51.143,48","-275,38","25,50","0,00","15.243.855,69"
SLED4,6,SARAIVA LIVR,,"0,24","-0,02","0,04","39,77","9,76","51,98","1,25","31,02","29,27",,"0,12","-0,13","-0,07","0,50","-9,26","18,73","-3,66","-2,02","3,02","0,36","-44,82",,"158.752,00","-275,38","25,50","0,00","15.243.855,69"
SMFT3,17.109999999999999,SMART FIT,,"-15,81","2,26","0,86","6,67","-21,06","-37,18","-27,90","-27,54","0,36","-0,03","5,88","3,66","-1,34","2,92","-14,33","-5,44","-4,75","0,38","0,62","0,15","21,63",,"17.369.485,00","7,56","-1,08","-2,63","10.030.605.564,79"
SMLS3,22.399999999999999,-,,"10,78","4,09","1,02","85,18","41,42","39,07","10,17","9,93","-0,24","-0,10","4,21","18,78","-2,54","1,10","37,96","9,43","24,47","0,25","0,75","0,24",,,"25.865.505,33","5,47","2,08","-0,33","2.781.160.547,20"
SMTO3,43.939999999999998,SAO MARTINHO,"5,31","10,63","3,21","1,08","42,01","42,36","27,14","6,81","9,04","2,23","1,05","2,89","6,13","-1,59","2,21","30,21","10,16","15,97","0,34","0,66","0,37","12,98","47,87","68.367.303,42","13,68","4,13","0,15","15.555.257.796,26"
SNSY3,9.9900000000000002,SANSUY,,"-0,68","-0,05","0,17","18,71","-0,87","-15,14","-11,85","-32,24","-17,80",,"0,10","-1,40","-0,42","0,83","-7,55","-25,07","0,50","-3,32","4,32","1,66","16,09",,"4.047,83","-193,58","-14,62","0,04","93.982.159,20"
SNSY5,3.3999999999999999,SANSUY,,"-0,23","-0,02","0,06","18,71","-0,87","-15,14","-4,03","-32,24","-17,80",,"0,04","-0,48","-0,14","0,83","-7,55","-25,07","0,50","-3,32","4,32","1,66","16,09",,"15.085,57","-193,58","-14,62","0,01","93.982.159,20"
SNSY6,13.33,SANSUY,,"-0,91","-0,07","0,23","18,71","-0,87","-15,14","-15,81","-32,24","-17,80",,"0,14","-1,87","-0,56","0,83","-7,55","-25,07","0,50","-3,32","4,32","1,66","16,09",,,"-193,58","-14,62","0,05","93.982.159,20"
SOJA3,13.16,BOA SAFRA,"0,30","12,06","2,36","1,61","16,35","13,70","12,24","10,78","9,82","-0,96","-0,21","1,48","3,04","-7,08","3,19","19,58","13,38","16,92","0,68","0,32","1,09",,,"6.620.145,54","5,57","1,09","0,15","1.541.566.690,16"
SOMA3,11.09,GRUPO SOMA,"0,82","29,03","1,22","0,87","57,97","7,15","10,74","43,58","47,76","4,19","0,12","3,12","5,67","-1,21","2,21","4,20","3,00","0,97","0,71","0,29","0,28",,,"87.104.639,88","9,11","0,38","-0,05","8.702.848.366,57"
SOND3,46.009999999999998,SONDOTECNICA,"13,11","8,20","1,72","1,18","35,77","17,66","16,79","7,80","5,74","-2,16","-0,48","1,38","3,81","-2,41","2,50","20,96","14,33","15,74","0,68","0,32","0,85","-0,97",,,"26,78","5,61","-0,24","114.673.860,00"
SOND5,40.299999999999997,SONDOTECNICA,"16,46","7,18","1,50","1,03","35,77","17,66","16,79","6,83","5,74","-2,16","-0,48","1,21","3,34","-2,12","2,50","20,96","14,33","15,74","0,68","0,32","0,85","-0,97",,"57.650,75","26,78","5,61","-0,21","114.673.860,00"
SOND6,47,SONDOTECNICA,"14,11","8,37","1,76","1,20","35,77","17,66","16,79","7,97","5,74","-2,16","-0,48","1,41","3,89","-2,47","2,50","20,96","14,33","15,74","0,68","0,32","0,85","-0,97",,"73.542,67","26,78","5,61","-0,24","114.673.860,00"
SPRT3B,76.400000000000006,-,,"-257,88","-109,84","33.097,97",,,,"-300,61","-300,61","0,00",,,"-109,48","-33.097,97","0,00","-42,60","-12.834,84","36,54","-301,32","302,32","0,00",,,,"-0,70","-0,30","-1,17","370.531.748,80"
SQIA3,16.91,SINQIA,"0,39","70,85","1,90","1,19","38,22","6,33","5,95","66,62","52,82","-13,80","-0,39","4,22","3,11","-2,30","4,67","2,68","1,67","1,91","0,62","0,37","0,28","33,05","20,44","21.703.298,50","8,90","0,24","0,22","1.487.098.746,52"
STBP3,6.5899999999999999,SANTOS BRP,"4,54","20,93","2,60","1,20","39,91","24,56","17,71","15,09","13,31","-1,78","-0,31","3,71","7,37","-1,66","2,37","12,42","5,72","11,19","0,46","0,54","0,32","13,09",,"24.779.943,75","2,53","0,31","-0,01","5.686.053.337,68"
STKF3,0,STATKRAFT,,"0,00","0,00","0,00","63,57","42,28","32,50","0,00","3,28","3,28","0,38","0,00","0,00","0,00","0,72","8,88","5,35","6,95","0,60","0,40","0,16","15,48",,,"4,55","0,40","0,00","0,00"
STTR3,0,STARA,,"0,00","0,00","0,00","31,37","17,25","14,11","0,00","-0,22","-0,22","-0,09","0,00","0,00","0,00","2,46","32,10","17,86","25,38","0,56","0,44","1,27","22,02",,,"2,91","0,94","0,00","0,00"
SULA11,25.559999999999999,SUL AMERICA,"0,88","32,73","1,34","0,37","6,37","-1,38","1,63","-38,86","12,40","51,26","-1,76","0,53","1,00","-1,16","2,24","4,09","1,14","-5,38","0,28","0,72","0,70","4,58","-13,71","131.344.875,42","19,11","0,78","-0,38","10.884.588.061,20"
SULA3,8.6600000000000001,SUL AMERICA,"0,87","33,27","1,36","0,38","6,37","-1,38","1,63","-39,49","12,40","51,26","-1,76","0,54","1,01","-1,18","2,24","4,09","1,14","-5,38","0,28","0,72","0,70","4,58","-13,71","63.185,33","6,37","0,26","-0,39","10.884.588.061,20"
SULA4,8.2599999999999998,SUL AMERICA,"0,91","31,73","1,30","0,36","6,37","-1,38","1,63","-37,67","12,40","51,26","-1,76","0,52","0,97","-1,13","2,24","4,09","1,14","-5,38","0,28","0,72","0,70","4,58","-13,71","119.532,33","6,37","0,26","-0,37","10.884.588.061,20"
SUZB3,51.780000000000001,SUZANO S.A.,"2,58","3,25","2,79","0,62","49,30","42,95","51,86","3,92","6,70","2,78","1,97","1,69","2,93","-0,87","4,12","85,78","19,20","10,03","0,22","0,78","0,37","32,90","66,56","332.459.873,46","18,57","15,93","0,00","70.486.228.379,52"
SYNE3,6,SYN PROP TEC,"136,48","0,71","0,33","0,19","72,20","70,87","55,79","0,56","1,09","0,53","0,31","0,40","1,56","-0,23","2,78","46,38","26,30","35,25","0,57","0,43","0,47","40,50",,"5.904.780,46","18,18","8,43","0,00","915.866.670,00"
TAEE11,44.890000000000001,TAESA,"6,40","6,99","2,31","0,97","81,31","98,94","63,76","4,50","6,37","1,87","0,96","4,45","21,54","-1,12","1,51","33,12","13,93","22,42","0,42","0,58","0,22","20,07","20,76","105.223.565,92","19,40","6,43","-3,21","15.464.555.935,23"
TAEE3,14.949999999999999,TAESA,"6,40","6,98","2,31","0,97","81,31","98,94","63,76","4,50","6,37","1,87","0,96","4,45","21,52","-1,12","1,51","33,12","13,93","22,42","0,42","0,58","0,22","20,07","20,76","1.031.566,63","6,47","2,14","-3,21","15.464.555.935,23"
TAEE4,15,TAESA,"6,38","7,00","2,32","0,98","81,31","98,94","63,76","4,51","6,37","1,87","0,96","4,46","21,59","-1,13","1,51","33,12","13,93","22,42","0,42","0,58","0,22","20,07","20,76","2.337.424,54","6,47","2,14","-3,22","15.464.555.935,23"
TASA3,23.5,TAURUS ARMAS,"6,91","4,40","3,69","1,33","48,09","35,53","23,17","2,87","3,32","0,45","0,58","1,02","8,31","-4,38","1,30","83,89","30,33","48,93","0,36","0,64","1,31","26,98",,"1.180.054,88","6,37","5,34","0,03","2.795.860.615,60"
TASA4,23.550000000000001,TAURUS ARMAS,"6,90","4,41","3,70","1,34","48,09","35,53","23,17","2,87","3,32","0,45","0,58","1,02","8,32","-4,39","1,30","83,89","30,33","48,93","0,36","0,64","1,31","26,98",,"19.614.130,04","6,37","5,34","0,03","2.795.860.615,60"
TCNO3,1.53,TECNOSOLO,,"-19,37","-17,52","0,04",,,,"-15,98","-67,10","-53,35",,,"-0,10","-0,05","0,29","-90,48","-0,22","-1,91","0,00","1,00","0,00",,,"21.519,50","-0,09","-0,08","0,75","8.721.117,36"
TCNO4,1.2,TECNOSOLO,,"-15,19","-13,74","0,03",,,,"-12,53","-67,10","-53,35",,,"-0,08","-0,04","0,29","-90,48","-0,22","-1,91","0,00","1,00","0,00",,,"52.950,50","-0,09","-0,08","0,59","8.721.117,36"
TCSA3,2.7000000000000002,TECNISA,,"-1,08","0,30","0,13","5,61","-87,53","-126,21","-1,55","-4,57","-3,02","0,58","1,36","0,38","-0,25","3,14","-27,94","-11,87","-10,84","0,42","0,58","0,09","-15,57",,"1.804.486,54","8,98","-2,51","-0,09","198.771.921,00"
TECN3,2.3100000000000001,TECHNOS,"3,51","6,46","0,55","0,28","52,54","16,11","8,93","3,58","4,30","0,72","0,11","0,58","0,59","-0,81","3,83","8,53","4,37","9,32","0,51","0,49","0,49","-2,72",,"2.768.002,46","4,19","0,36","-0,03","181.349.356,65"
TEKA3,26.100000000000001,TEKA,,"-0,16","-0,01","0,01","19,31","11,12","-35,13","0,52","22,32","22,03",,"0,06","-0,01","-0,01","0,04","-4,56","-7,55","-1,89","-1,66","2,66","0,21","7,53",,"5.220,00","-3.493,37","-159,23","0,01","7.322.636,30"
TEKA4,8.7699999999999996,TEKA,,"-0,06","0,00","0,00","19,31","11,12","-35,13","0,17","22,32","22,03",,"0,02","0,00","0,00","0,04","-4,56","-7,55","-1,89","-1,66","2,66","0,21","7,53",,"15.075,47","-3.493,37","-159,23","0,00","7.322.636,30"
TELB3,38.579999999999998,TELEBRAS,,"-20,65","1,83","0,64","-80,49","-23,43","-44,40","-39,12","-19,04","13,24","-0,62","9,17","2,31","-0,99","4,50","-8,86","-3,09","-4,08","0,35","0,65","0,07","38,50",,"80.812,75","21,08","-1,87","-1,06","2.160.428.216,79"
TELB4,13.710000000000001,TELEBRAS,,"-7,34","0,65","0,23","-80,49","-23,43","-44,40","-13,90","-19,04","13,24","-0,62","3,26","0,82","-0,35","4,50","-8,86","-3,09","-4,08","0,35","0,65","0,07","38,50",,"148.376,33","21,08","-1,87","-0,38","2.160.428.216,79"
TEND3,5.46,TENDA,,"-2,98","0,47","0,13","17,77","-3,56","-7,54","-6,30","-9,97","-3,67","0,27","0,22","0,37","-0,35","2,20","-15,79","-4,31","-5,23","0,27","0,73","0,57","19,26",,"19.217.359,13","11,62","-1,84","0,02","569.719.583,16"
TESA3,48,-,,"-13,30","1,62","0,52","15,86","9,39","-7,58","10,73","17,39","6,66","1,01","1,01","-11,10","-0,74","0,86","-12,18","-3,94","3,93","0,32","0,68","0,52","7,32",,"1.340.759,40","29,64","-3,61","0,83","1.389.696.672,00"
TFCO4,12,TRACK FIELD,"1,03","147,65","42,53","23,99","59,82","20,79","17,75","126,05","21,34","0,14","0,05","26,21","47,66","-105,59","2,87","28,81","16,24","22,72","0,56","0,44","0,92",,,"1.993.237,75","0,28","0,08","0,74","1.916.616.018,00"
TGMA3,14.35,TEGMA,"6,51","8,89","1,35","0,92","18,18","11,93","10,50","7,83","7,63","-0,20","-0,03","0,93","3,19","-1,77","2,51","15,23","10,36","12,08","0,68","0,32","0,99","1,74","50,44","3.811.243,50","10,60","1,61","0,21","947.141.830,25"
TIET11,12.539999999999999,-,,"4,38","2,25","0,46","74,66","61,76","49,46","3,51","7,15","3,64","2,34","2,16","1.031,49","-0,52","1,00","51,45","10,47","13,16","0,20","0,72","0,21","-5,19","23,78",,"5,57","2,87","0,02","5.004.795.800,93"
TIET3,3.4900000000000002,-,,"6,09","3,13","0,64","74,66","61,76","49,46","4,88","7,15","3,64","2,34","3,01","1.435,37","-0,72","1,00","51,45","10,47","13,16","0,20","0,72","0,21","-5,19","23,78",,"1,11","0,57","0,03","5.004.795.800,93"
TIET4,3.5099999999999998,-,,"6,13","3,15","0,64","74,66","61,76","49,46","4,91","7,15","3,64","2,34","3,03","1.443,59","-0,72","1,00","51,45","10,47","13,16","0,20","0,72","0,21","-5,19","23,78",,"1,11","0,57","0,03","5.004.795.800,93"
TIMS3,13.34,TIM,"3,85","10,47","1,27","0,66","53,10","20,92","16,73","8,37","7,17","-1,20","-0,18","1,75","6,64","-0,91","1,56","12,18","6,29","13,07","0,52","0,48","0,38","2,95","32,68","100.670.466,96","10,47","1,27","0,18","32.293.530.669,32"
TKNO3,69.629999999999995,TEKNO,"8,34","3,11","0,86","0,61","26,57","23,35","21,20","2,82","2,51","-0,35","-0,11","0,66","1,71","-1,55","2,43","27,81","19,63","23,01","0,71","0,29","0,93","23,01",,,"80,60","22,41","0,01","208.480.890,63"
TKNO4,72,TEKNO,"11,73","3,21","0,89","0,63","26,57","23,35","21,20","2,92","2,51","-0,35","-0,11","0,68","1,77","-1,61","2,43","27,81","19,63","23,01","0,71","0,29","0,93","23,01",,"6.987,00","80,60","22,41","0,01","208.480.890,63"
TOTS3,27.140000000000001,TOTVS,"0,81","45,60","3,89","1,66","67,64","14,43","10,44","32,98","30,61","-2,37","-0,28","4,76","7,58","-3,66","1,67","8,53","3,64","6,60","0,43","0,55","0,35","8,34","19,20","201.812.264,58","6,98","0,60","2,69","16.750.351.532,34"
TOYB3,2.29,-,,"-43,94","-4,97","4,03","24,06","-10,70","-10,96","-45,00","-47,62","-0,63",,"4,81","-5,93","-11,89","0,49","-11,31","-9,18","11,93","-0,81","1,81","0,84","-33,11",,,"-0,46","-0,05","0,47","71.890.222,22"
TOYB4,2.5,-,,"-47,96","-5,43","4,40","24,06","-10,70","-10,96","-49,12","-47,62","-0,63",,"5,26","-6,47","-12,98","0,49","-11,31","-9,18","11,93","-0,81","1,81","0,84","-33,11",,,"-0,46","-0,05","0,52","71.890.222,22"
TPIS3,1.46,TRIUNFO PART,"1,28","24,35","0,28","0,08","12,77","4,36","1,01","5,63","40,91","35,28","1,77","0,25","-0,69","-0,09","0,31","1,16","0,33","0,35","0,29","0,71","0,33","-7,49",,"1.203.331,92","5,19","0,06","-0,26","256.960.000,00"
TRAD3,4.4299999999999997,TC,"0,00","1.038,88","2,03","1,93","61,12","-29,27","1,31","-46,54","-34,96","11,58","-0,51","13,62","3,92","-4,16","11,99","0,20","0,19","-7,28","0,95","0,05","0,14",,,"12.447.575,21","2,18","0,00","-11,43","1.247.696.821,34"
TRIS3,3.9700000000000002,TRISUL,"5,53","6,15","0,58","0,32","36,67","20,49","15,57","4,67","6,28","1,61","0,20","0,96","0,66","-0,96","3,51","9,48","5,15","7,38","0,54","0,46","0,33","20,68","115,50","8.143.426,46","6,81","0,65","-0,21","740.871.625,86"
TRPL3,31.899999999999999,TRAN PAULIST,"6,23","7,06","1,41","0,70","72,66","77,80","51,31","4,65","5,44","1,46","0,44","3,62","7,45","-0,81","3,29","20,00","9,93","16,23","0,50","0,49","0,19","-6,60","-9,59","38.217,75","22,61","4,52","-0,44","17.943.124.860,36"
TRPL4,24.23,TRAN PAULIST,"8,20","5,36","1,07","0,53","72,66","77,80","51,31","3,53","5,44","1,46","0,44","2,75","5,66","-0,62","3,29","20,00","9,93","16,23","0,50","0,49","0,19","-6,60","-9,59","41.990.489,54","22,61","4,52","-0,33","17.943.124.860,36"
TTEN3,8.3800000000000008,3TENTOS,"0,18","9,54","1,81","0,83","12,87","5,99","7,46","11,88","11,80","-0,08","-0,01","0,71","2,25","-3,52","1,93","18,93","8,69","8,40","0,46","0,54","1,16",,,"9.869.358,38","4,64","0,88","0,20","4.158.303.881,86"
TUPY3,20.510000000000002,TUPY,"2,11","14,48","1,07","0,39","15,87","6,15","2,88","6,79","9,87","3,08","0,49","0,42","1,35","-1,01","1,92","7,42","2,72","6,53","0,37","0,63","0,94","16,82",,"25.132.098,71","19,10","1,42","-0,04","2.957.080.525,00"
TXRX3,27.66,TEX RENAUX,,"-5,41","-0,35","0,56","34,48","19,25","-13,44","3,78","10,67","8,89",,"0,73","-0,60","-1,00","0,32","-6,56","-10,36","-57,19","-1,58","2,58","0,77","13,47",,"2.766,00","-77,94","-5,12","-0,25","55.704.367,98"
TXRX4,5.5,TEX RENAUX,,"-1,08","-0,07","0,11","34,48","19,25","-13,44","0,75","10,67","8,89",,"0,14","-0,12","-0,20","0,32","-6,56","-10,36","-57,19","-1,58","2,58","0,77","13,47",,"2.226,00","-77,94","-5,12","-0,05","55.704.367,98"
UCAS3,3.3900000000000001,UNICASA,"6,30","8,64","1,34","0,78","36,30","13,67","11,76","7,43","5,12","-2,30","-0,41","1,02","3,83","-1,76","1,57","15,46","9,01","11,63","0,58","0,42","0,77","3,58",,"143.850,17","2,54","0,39","0,12","224.032.773,96"
UGPA3,12.16,ULTRAPAR,"3,05","15,94","1,30","0,35","4,47","1,61","0,78","7,66","15,37","7,71","1,30","0,12","1,10","-0,97","1,98","8,12","2,18","5,61","0,27","0,73","2,81","7,24","-11,44","113.019.421,46","9,39","0,76","-3,32","13.560.243.553,28"
UNIP3,95.579999999999998,UNIPAR,"16,13","5,00","4,28","1,59","44,56","46,82","31,56","3,37","3,34","-0,05","-0,06","1,58","9,49","-2,92","1,58","85,50","31,77","50,39","0,37","0,63","1,01","47,87","47,86","3.914.473,08","22,35","19,11","0,01","9.996.726.246,55"
UNIP5,95.219999999999999,UNIPAR,"17,81","4,98","4,26","1,58","44,56","46,82","31,56","3,36","3,34","-0,05","-0,06","1,57","9,45","-2,90","1,58","85,50","31,77","50,39","0,37","0,63","1,01","47,87","47,86","54.032,64","22,35","19,11","0,01","9.996.726.246,55"
UNIP6,96.590000000000003,UNIPAR,"17,56","5,06","4,32","1,61","44,56","46,82","31,56","3,41","3,34","-0,05","-0,06","1,60","9,59","-2,95","1,58","85,50","31,77","50,39","0,37","0,63","1,01","47,87","47,86","31.909.243,42","22,35","19,11","0,01","9.996.726.246,55"
USIM3,10.220000000000001,USIMINAS,"17,10","1,37","0,56","0,33","30,50","30,88","27,03","1,20","1,14","-0,10","-0,05","0,37","0,89","-0,66","3,69","40,68","23,86","26,93","0,59","0,34","0,88","31,89",,"8.497.196,71","18,30","7,45","0,00","13.189.941.380,56"
USIM5,10.92,USIMINAS,"17,61","1,47","0,60","0,35","30,50","30,88","27,03","1,28","1,14","-0,10","-0,05","0,40","0,96","-0,70","3,69","40,68","23,86","26,93","0,59","0,34","0,88","31,89",,"221.393.086,00","18,30","7,45","0,00","13.189.941.380,56"
USIM6,17.120000000000001,USIMINAS,"11,23","2,30","0,94","0,55","30,50","30,88","27,03","2,01","1,14","-0,10","-0,05","0,62","1,50","-1,10","3,69","40,68","23,86","26,93","0,59","0,34","0,88","31,89",,"3.165,70","18,30","7,45","0,01","13.189.941.380,56"
VALE3,79.939999999999998,VALE,"17,65","3,51","2,24","0,91","58,69","48,60","40,47","2,93","3,10","0,17","0,13","1,42","17,58","-1,14","1,33","63,77","25,77","44,29","0,40","0,59","0,64","25,41","53,57","2.555.554.606,92","35,67","22,75","0,03","399.623.262.636,22"
VAMO3,13.51,VAMOS,"1,45","29,27","4,80","1,21","37,99","28,26","13,88","14,38","17,75","3,37","1,13","4,06","5,08","-2,00","2,55","16,40","4,14","8,10","0,25","0,75","0,30","571,04","537,78","36.195.460,25","2,81","0,46","0,27","13.199.107.474,70"
VBBR3,20,VIBRA,"2,91","9,33","1,89","0,69","5,27","2,00","1,92","8,94","12,86","3,92","0,83","0,18","2,24","-1,45","2,42","20,29","7,37","7,38","0,36","0,64","3,84","8,47",,"174.126.032,17","10,56","2,14","-0,26","23.300.000.000,00"
VIIA3,2.77,VIA,,"-14,91","0,79","0,13","30,19","-1,11","-0,96","-12,91","-35,19","-22,28","1,36","0,14","-20,79","-0,26","0,99","-5,27","-0,84","-10,66","0,16","0,84","0,87","9,29",,"181.448.317,92","3,53","-0,19","0,12","4.427.639.621,12"
VITT3,12,VITTIA,"1,90","16,03","3,53","2,03","36,49","18,34","13,75","12,02","13,14","1,12","0,33","2,20","5,84","-7,04","1,95","22,05","12,66","16,00","0,57","0,43","0,92",,,"5.928.518,63","3,40","0,75","0,52","1.716.589.284,00"
VIVA3,23.399999999999999,VIVARA S.A.,"1,41","18,52","3,97","2,16","67,61","20,10","20,36","18,76","18,16","-0,60","-0,13","3,77","6,08","-5,64","2,35","21,43","11,64","15,40","0,54","0,46","0,57",,,"20.056.883,58","5,90","1,26","0,18","5.527.027.794,60"
VIVR3,0.95999999999999996,VIVER,,"-2,38","-0,68","0,42","18,54","-73,49","-84,63","-2,75","-5,70","-2,96",,"2,02","-0,69","-0,83","0,45","-28,62","-17,51","-492,25","-0,61","1,61","0,21",,,"4.259.983,79","-1,41","-0,40","0,03","137.186.604,48"
VIVT3,50.490000000000002,TELEF BRASIL,"7,26","13,57","1,21","0,73","43,72","16,09","14,17","11,95","13,42","1,48","0,15","1,92","-60,51","-0,90","0,94","8,91","5,39","7,84","0,61","0,39","0,38","0,71","8,84","122.414.787,96","41,75","3,72","0,44","84.668.613.302,79"
VIVT4,45.340000000000003,TELEF BRASIL,,"12,19","1,09","0,66","43,72","16,09","14,17","10,73","13,42","1,48","0,15","1,73","-54,34","-0,80","0,94","8,91","5,39","7,84","0,61","0,39","0,38","0,71","8,84",,"41,75","3,72","0,40","84.668.613.302,79"
VLID3,8.6899999999999995,VALID,"3,34","12,01","0,55","0,23","23,45","6,18","2,72","5,28","11,40","6,12","0,64","0,33","1,52","-0,40","1,55","4,57","1,93","4,90","0,42","0,58","0,71","4,98","-7,53","3.608.979,25","15,84","0,72","-0,09","716.711.590,98"
VSPT3,4.9900000000000002,FER C ATLANT,,"-1,71","0,16","0,08","5,10","-8,09","-14,43","-3,05","-2,22","0,83","-0,04","0,25","-1,14","-0,09","0,49","-9,21","-4,89","-6,16","0,53","0,47","0,34","11,60",,,"31,68","-2,92","-0,01","712.610.842,16"
VSPT4,0,FER C ATLANT,,"0,00","0,00","0,00","5,10","-8,09","-14,43","0,00","-2,22","0,83","-0,04","0,00","0,00","0,00","0,49","-9,21","-4,89","-6,16","0,53","0,47","0,34","11,60",,,"31,68","-2,92","0,00","712.610.842,16"
VULC3,10.66,VULCABRAS,"3,28","7,42","1,86","1,27","35,48","18,14","17,37","7,10","7,50","0,40","0,11","1,29","3,18","-3,66","2,59","25,13","17,13","19,54","0,68","0,32","0,99","10,48","58,16","4.336.154,63","5,72","1,44","0,01","2.619.761.561,04"
VVEO3,13.83,VIVEO,"2,94","10,01","1,84","0,57","17,65","7,92","6,35","8,04","7,88","-0,16","-0,04","0,64","1,61","-1,71","2,16","18,37","5,73","11,19","0,31","0,69","0,90",,,"3.631.041,33","7,52","1,38","0,04","3.957.086.068,80"
WEGE3,27.129999999999999,WEG,"1,74","30,24","9,17","4,71","28,58","17,24","14,88","26,10","26,05","-0,04","-0,01","4,50","15,99","-14,70","1,77","30,32","15,58","22,79","0,51","0,47","1,05","20,26","27,50","269.352.868,38","2,96","0,90","0,73","113.873.237.285,74"
WEST3,2.2799999999999998,WESTWING,,"-5,96","0,66","0,51","43,59","-20,36","-13,43","-3,93","-0,31","3,62","-0,61","0,80","0,90","-1,82","4,82","-11,08","-8,59","-18,36","0,77","0,23","0,64",,,"2.433.986,58","3,45","-0,38","0,01","251.250.108,48"
WHRL3,5.2300000000000004,WHIRLPOOL,"11,22","8,02","3,72","0,86","17,71","9,64","8,61","7,16","6,78","-0,45","-0,23","0,69","18,35","-3,58","1,07","46,46","10,70","27,59","0,23","0,77","1,24","14,11","25,75","20.648,43","1,40","0,65","0,21","7.935.424.429,62"
WHRL4,5.3899999999999997,WHIRLPOOL,"11,98","8,26","3,84","0,88","17,71","9,64","8,61","7,38","6,78","-0,45","-0,23","0,71","18,91","-3,69","1,07","46,46","10,70","27,59","0,23","0,77","1,24","14,11","25,75","156.956,75","1,40","0,65","0,22","7.935.424.429,62"
WIZS3,7.4000000000000004,WIZ S.A.,"7,95","6,29","1,46","0,54","61,48","42,70","23,02","3,39","2,75","-0,64","-0,28","1,45","-4,95","-0,72","0,69","23,27","8,65","23,12","0,37","0,63","0,38","15,13","5,32","16.373.214,08","5,05","1,18","-1,83","1.183.313.886,80"
WLMM3,29.879999999999999,WLM IND COM,"2,03","10,29","2,01","1,63","12,94","7,32","5,69","7,99","6,54","-1,12","-0,28","0,59","4,42","-3,12","4,39","19,49","15,83","17,63","0,81","0,19","2,78","34,55",,"5.800,67","14,90","2,90","0,11","1.042.628.839,10"
WLMM4,27.59,WLM IND COM,"2,42","9,50","1,85","1,50","12,94","7,32","5,69","7,38","6,54","-1,12","-0,28","0,54","4,08","-2,88","4,39","19,49","15,83","17,63","0,81","0,19","2,78","34,55",,"67.508,96","14,90","2,90","0,10","1.042.628.839,10"
YDUQ3,15.18,YDUQS PART,"0,83","29,66","1,45","0,47","54,40","12,45","3,60","8,58","15,34","6,76","1,14","1,07","4,24","-0,68","1,59","4,88","1,60","5,70","0,33","0,67","0,44","6,64","-15,54","47.239.967,75","10,49","0,51","0,49","4.691.968.758,18"
